,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1133,SAAB DYNAMICS AB,SWE,526292,AMMUNITION 7.62 MM TRACER CARTRIDGE 553B,2013-07-13,2013-12-13,2013
1134,SAE ALSETEX,FRA,106184,PURCHASE OF CARTIDGRES CAL 18.2 X 97 MM,2013-07-13,2013-12-13,2013
1135,SAGEM DEFENSE SECURITE,FRA,86041,"SUPPLY OF COMPUTER,FLIGHT CONTROL AND CIRCUIT CARD ASSY",2013-07-13,2013-12-13,2013
1136,SAP BELGIUM,BEL,149166,SAP LICENCES,2013-07-13,2013-12-13,2013
1137,SCAFI - SOCIETA DI NAVIGAZIONE,,,,2013-07-13,2013-12-13,2013
1138,,ITA,3880000,PURCHASE OF TUGBOAT,2013-07-13,2013-12-13,2013
1139,SPA,,,,2013-07-13,2013-12-13,2013
1140,SCHUTT INDUSTRIES OF,,,,2013-07-13,2013-12-13,2013
1141,,USA,1381670,PROVISION OF HELIPAD EQUIPMENT,2013-07-13,2013-12-13,2013
1142,CLINTONVILLE,,,,2013-07-13,2013-12-13,2013
1143,SELEX ES SPA,ITA,658569,RPES SOFTWARE DEVELOPMENT,2013-07-13,2013-12-13,2013
1144,SELEX ES SPA,ITA,3000000,NGIFF FOR RADAR UPGRADE,2013-07-13,2013-12-13,2013
1145,SICAMB SPA,ITA,318721,"CARTRIDGE SET, SEAT",2013-07-13,2013-12-13,2013
1146,SIDEM SERVICE BVBA,BEL,606192,PROVISION OF VEHICLE WASH RACK SYSTEM,2013-07-13,2013-12-13,2013
1147,SIELMAN SA,GRC,88027,PROD.OF PANEL EXTENDED_SITE ZIROS,2013-07-13,2013-12-13,2013
1148,SIMMEL DIFESA SPA,ITA,5205500,"CARTRIDGE,120 MM TPCSDS-T SIL505 MODEL",2013-07-13,2013-12-13,2013
1149,SIRTI SPA,ITA,98949,SOFTWARE CONFIGURATION & INSTALLATION,2013-07-13,2013-12-13,2013
1150,SPREEWERK LUEBBEN GMBH,DEU,2942395,DEMIL AMMUNITION,2013-07-13,2013-12-13,2013
