,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
2286,LORD CORP,USA,148419,PATRIOT SUPPLIES,2011-01-11,2011-06-11,2011
2287,MARLBOROUGH COMMUNICATIONS LTD,GBR,82511,CRYPTO SUPPLIES,2011-01-11,2011-06-11,2011
2288,MARSHALL OF CAMBRIDGE,,,,2011-01-11,2011-06-11,2011
2289,,GBR,96305,FIXED WING A/C SUPPLIES,2011-01-11,2011-06-11,2011
2290,AEROSPACE LTD,,,,2011-01-11,2011-06-11,2011
2291,MASTERMARK BRANDS OY,FIN,317200,VICTORINOX SWISSTOOL WITH POUCH,2011-01-11,2011-06-11,2011
2292,MAVEN ENGINEERING CORPORATION,USA,132287,TOW SUPPLIES,2011-01-11,2011-06-11,2011
2293,MCTURBINE INC,USA,108993,HELICOPTER SUPPLIES,2011-01-11,2011-06-11,2011
2294,M-D2 ENGENEERING & CONSULTANCY,TUR,1188513,SUPPORT OF TRUST FUND PROJECT JORDAN II,2011-01-11,2011-06-11,2011
2295,MDA SYSTEMS LTD,CAN,107550,GPD SOFTWARE MAINTENANCE,2011-01-11,2011-06-11,2011
2296,MERCEDES-BENZ LEUDELANGE SA,LUX,110680,DISK BRAKE SHOE SET,2011-01-11,2011-06-11,2011
2297,MICHELIN SA,BEL,100450,"TIRE,PNEUMATIC,VEHICULAR",2011-01-11,2011-06-11,2011
2298,MONTI WERKZEUGE GMBH,DEU,150000,MBX BRISTLE BLASTER SET,2011-01-11,2011-06-11,2011
2299,MOOG AIRCRAFT GROUP,USA,574647,ANTENNA CONTROL UNITS,2011-01-11,2011-06-11,2011
2300,MPD INC,USA,197204,PATRIOT SUPPLIES,2011-01-11,2011-06-11,2011
2301,MSA GALLET SA,FRA,408188,HELMETS,2011-01-11,2011-06-11,2011
2302,MUGNAIONI PIROTECNICA INDUSTRIALE,ITA,431880,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2303,NAMMO A/S,NOR,188094,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2304,NOBEL SPORT,FRA,232860,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2305,NORCATEC LLC,USA,135290,MLRS SUPPLIES,2011-01-11,2011-06-11,2011
2306,NORCATEC LLC,USA,203628,TRACK SHOE SETS,2011-01-11,2011-06-11,2011
2307,NORCATEC LLC,USA,1068975,TRACK SHOE ASSEMBLY,2011-01-11,2011-06-11,2011
2308,NUANCES ORGANISATION,FRA,88376,DRONE SUPPLIES,2011-01-11,2011-06-11,2011
2309,OAKLEY ICON,FRA,1857000,BALLISTIC GOGGLES,2011-01-11,2011-06-11,2011
2310,OBERMEYER PLANEN UND,DEU,140159,A&E SERVICES,2011-01-11,2011-06-11,2011
2311,OBERMEYER PLANEN UND BERATEN,DEU,185178,A&E SERVICES,2011-01-11,2011-06-11,2011
2312,OBERMEYER PLANEN UND BERATEN,DEU,234648,A&E SERVICES,2011-01-11,2011-06-11,2011
2313,ONA ELECTROEROSION SA,ESP,397161,ELECTRICAL DISCHARGE MACHINE,2011-01-11,2011-06-11,2011
2314,OPTIX CO,BGR,877680,MULTIFUNCTIONAL-THERMAL DEVICE,2011-01-11,2011-06-11,2011
2315,ORACLE BELGIUM BVBA,BEL,101953,LICENCE MANAGEMENT SUPPLIES,2011-01-11,2011-06-11,2011
2316,ORACLE BELGIUM BVBA,BEL,178979,LICENCE MANAGEMENT SUPPLIES,2011-01-11,2011-06-11,2011
2317,PAAR LOGISTIK GMBH,DEU,188660,RADIATOR ENGINES,2011-01-11,2011-06-11,2011
2318,PERSYS MEDICAL,USA,455625,MERGENCY BANDAGES,2011-01-11,2011-06-11,2011
2319,PRAS TECNICA EDILIZIA SRL,ITA,99000,A&E SERVICES,2011-01-11,2011-06-11,2011
2320,PRIME PROJECTS INTERNATIONAL,ARE,125418,KAF RLS PROJECT SERVICES,2011-01-11,2011-06-11,2011
2321,PWA ELECTRONIC SERVICE- &,DEU,281419,RUGGEDIZED LAPTOPS,2011-01-11,2011-06-11,2011
2322,RAYTHEON CO,USA,105960,PATRIOT SUPPLIES,2011-01-11,2011-06-11,2011
2323,RAYTHEON CO,USA,236610,PATRIOT SUPPLIES,2011-01-11,2011-06-11,2011
2324,RAYTHEON COMPANY,USA,304393,NAMSA WORKSHOP SUPPLIES,2011-01-11,2011-06-11,2011
2325,RAYTHEON TECHNICAL SERVICES CO,,,,2011-01-11,2011-06-11,2011
2326,LLC,USA,141686,TRANSFORMERS,2011-01-11,2011-06-11,2011
2327,RELYANT LLC,USA,2179196,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2328,RENK AG,DEU,5983671,LANDCOMBAT SUPPLIES,2011-01-11,2011-06-11,2011
2329,RHEINMETALL WAFFE MUNITION GMBH,DEU,316012,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2330,RIDGE INSTRUMENTS CO INC,USA,209723,HAWK SUPPLIES,2011-01-11,2011-06-11,2011
2331,RIVOLIER SA,FRA,166345,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2332,ROCKWELL COLLINS DEUTSCHLAND,,,,2011-01-11,2011-06-11,2011
2333,,DEU,98413,ROCKWELL COLLINS FIRESTORM,2011-01-11,2011-06-11,2011
2334,GMBH,,,,2011-01-11,2011-06-11,2011
2335,RUAG AMMOTEC GMBH,DEU,200473,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2336,SAE ALSETEX,FRA,236420,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2337,SAE ALSETEX,FRA,282048,AMMUNITION SERVICES,2011-01-11,2011-06-11,2011
2338,SAE ALSETEX,FRA,808725,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2339,SAGEM DS,FRA,85067,DRONE SUPPLIES,2011-01-11,2011-06-11,2011
2340,SAGEM DS,FRA,356523,RECEIVER-TRANSMITTER UNIT,2011-01-11,2011-06-11,2011
2341,SAMIL DEFENCE SRL,ITA,538160,SPECIAL CONTAINERS,2011-01-11,2011-06-11,2011
2342,SAPL,FRA,138296,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2343,SARAS S.P.A,ITA,5114893,AWACS SUPPLIES,2011-01-11,2011-06-11,2011
2344,SECUMAR BENELUX BV,NLD,149046,LIFE PRESERVER VESTS,2011-01-11,2011-06-11,2011
2345,SICAMB SPA,ITA,119850,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2346,SIELMAN SA,GRC,82278,HAWK SERVICES,2011-01-11,2011-06-11,2011
2347,SIELMAN SA,GRC,103730,INTAKE AIR CLEANERS,2011-01-11,2011-06-11,2011
2348,SIMMEL DIFESA SPA,ITA,891000,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2349,SMITHS DETECTION-WATFORD LTD,GBR,187275,SPARES FOR DETECTION SYSTEMS,2011-01-11,2011-06-11,2011
2350,,,,M113 A3 DOUBLE LINK GROUSER,2011-01-11,2011-06-11,2011
2351,SOUCY INTERNATIONAL INC.,,CAN,88514,,2011-01-11,2011-06-11
2352,SOUCY INTERNATIONAL INC.,CAN,93368,ASSEMBL M113 A2 RUBBER TRACK 105 PITCHES,2011-01-11,2011-06-11,2011
2353,SOUCY INTERNATIONAL INC.,CAN,94509,M113 A2 RUBBER TRACK 106 PITCHES,2011-01-11,2011-06-11,2011
2354,SPREEWERK LUEBBEN GMBH,DEU,302947,AMMUNITION SERVICES,2011-01-11,2011-06-11,2011
2355,ST PROTECT SRL,ITA,133125,SURVIVAL OVERALLS,2011-01-11,2011-06-11,2011
2356,STECO POWER,FRA,679022,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,2011-01-11,2011-06-11,2011
2357,STIMPEX SA,ROM,3648750,BODY ARMOUR OUTFITS,2011-01-11,2011-06-11,2011
2358,SUN TEST SYSTEMS BV,NLD,242460,HELICOPTER SUPPLIES,2011-01-11,2011-06-11,2011
2359,SUNLIGHT SYSTEMS SA,GRC,217800,STORAGE BATTERIES,2011-01-11,2011-06-11,2011
2360,SYSTEMATIC SOFTWARE ENGINEERING,GBR,217522,LICENCE MANAGEMENT SUPPLIES,2011-01-11,2011-06-11,2011
2361,TACTICAL SUPPORT EQUIPMENT INC,USA,559744,TOW SUPPLIES,2011-01-11,2011-06-11,2011
2362,TDA ARMEMENTS SAS,FRA,2100000,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2363,TECHNICAL MARKETING SYSTEMS,USA,139403,TOW SUPPLIES,2011-01-11,2011-06-11,2011
2364,TELENT GMBH,DEU,89809,MULTIPLEXER,2011-01-11,2011-06-11,2011
2365,TELINDUS,LUX,99934,MARITIME CIS SUPPLIES,2011-01-11,2011-06-11,2011
2366,TEST-FUCHS,DEU,369977,FIXED WING A/C SUPPLIES,2011-01-11,2011-06-11,2011
2367,,,,JUMELLES DE VISION NOCTURE LUCIE,2011-01-11,2011-06-11,2011
2368,THALES ANGENIEUX,,FRA,333060,,2011-01-11,2011-06-11
2369,,,,XD,2011-01-11,2011-06-11,2011
2370,,,,JUMELLES DE VISION NOCTURE LUCIE,2011-01-11,2011-06-11,2011
2371,THALES ANGENIEUX,,FRA,475800,,2011-01-11,2011-06-11
2372,,,,XD,2011-01-11,2011-06-11,2011
2373,THALES AVIONICS,FRA,109986,HELICOPTER SUPPLIES,2011-01-11,2011-06-11,2011
2374,THALES BELGIUM SA,BEL,591866,PRV CARGO BOXES,2011-01-11,2011-06-11,2011
2375,THALES DEFENCE DEUTSCHLAND,,,,2011-01-11,2011-06-11,2011
2376,GMBH,DEU,137119,RADAR RECEIVERS,2011-01-11,2011-06-11,2011
2377,THALES RAYTHEON SYSTEMS,FRA,175524,CABLE ASSEMBLIES,2011-01-11,2011-06-11,2011
2378,THALES RAYTHEON SYSTEMS CO LLC,USA,526783,WAVEGUIDES,2011-01-11,2011-06-11,2011
2379,TIMES MICROWAVE SYSTEMS INC,USA,163381,AWACS SUPPLIES,2011-01-11,2011-06-11,2011
2380,TR EQUIPEMENT,FRA,86782,DILLON MINIGUN M134D-H,2011-01-11,2011-06-11,2011
2381,TRANSAERO INC,USA,93978,HELICOPTER SUPPLIES,2011-01-11,2011-06-11,2011
2382,TURBOMECA GMBH,DEU,521999,HELICOPTER SUPPLIES,2011-01-11,2011-06-11,2011
2383,ULP-MJEKES,ALB,1307395,AMMUNITION DEMILITARIZATION IN ALBAN,2011-01-11,2011-06-11,2011
2384,UNI BUSINESS CENTRE BV,NLD,119400,MARITIME CIS SUPPLIES,2011-01-11,2011-06-11,2011
2385,UNITED TECHNOLOGIES INT'L CORP,USA,134621,AWACS SUPPLIES,2011-01-11,2011-06-11,2011
2386,UNITED TECHNOLOGIES INT'L CORP,USA,754500,AWACS SUPPLIES,2011-01-11,2011-06-11,2011
2387,VALLON GMBH,DEU,256880,SPARES FOR METAL MINE DETECTORS,2011-01-11,2011-06-11,2011
2388,VALLON GMBH,DEU,848224,DETECTION KITS,2011-01-11,2011-06-11,2011
2389,VAREC NV,BEL,80400,TRACK SHOE PADS,2011-01-11,2011-06-11,2011
2390,VECTOR AEROSPACE ENGINE,GBR,2513196,FIXED WING A/C SUPPLIES,2011-01-11,2011-06-11,2011
2391,VECTRONIX AG,CHE,129800,JUMELLES VECTOR IV BT MOD B,2011-01-11,2011-06-11,2011
2392,VECTRONIX AG,CHE,146180,BINOCULARS,2011-01-11,2011-06-11,2011
2393,VECTRONIX AG,CHE,146180,BINOCULARS,2011-01-11,2011-06-11,2011
2394,VECTRONIX AG,CHE,146180,BINOCULARS,2011-01-11,2011-06-11,2011
2395,VIASAT INC,USA,169033,FIXED WING A/C SUPPLIES,2011-01-11,2011-06-11,2011
2396,VIZADA NETWORKS AS,NOR,84675,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2397,WALLOP DEFENCE SYSTEMS LTD,GBR,347941,AMMUNITION SUPPLIES,2011-01-11,2011-06-11,2011
2398,YUKSEL INSAAT AS,TUR,691505,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2399,YUKSEL INSAAT AS,TUR,777292,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2400,YUKSEL INSAAT AS,TUR,1390980,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2401,YUKSEL INSAAT AS,TUR,2331240,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2402,YUKSEL INSAAT AS,TUR,3895798,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2403,YUKSEL INSAAT AS,TUR,18305648,NON A&E SERVICES,2011-01-11,2011-06-11,2011
2404,ACCURACY INTERNATIONAL LTD,GBR,155827,"TELESCOPE,STRAIGHT",2014-07-14,2014-12-14,2014
2405,ACSI,FRA,108017,"TERMINAL,DATA PROCESSING",2014-07-14,2014-12-14,2014
2406,AEBI SCHMIDT NEDERLAND BV,NLD,289229,SNOW PLOUGH AND SAND SPREADER (W/MOUNT),2014-07-14,2014-12-14,2014
2407,AERO PRECISION INDUSTRIES INC,USA,128336,"WICK ASSY,TURBINE",2014-07-14,2014-12-14,2014
2408,AEROTEC GROUP,FRA,221085,ECJIL-C130 KIT OPERATIONNEL MOBILE JVN,2014-07-14,2014-12-14,2014
2409,AGUSTA AEROSPACE SERVICES SA,BEL,109218,"BUMPER,RUBBER",2014-07-14,2014-12-14,2014
2410,AGUSTA AEROSPACE SERVICES SA,BEL,123489,CABLAGGIO ELETTRICO,2014-07-14,2014-12-14,2014
2411,AGUSTA AEROSPACE SERVICES SA,BEL,147589,"BEARING,ROLLER,RADIAL AND THRUST",2014-07-14,2014-12-14,2014
2412,AGUSTA AEROSPACE SERVICES SA,BEL,313916,"BLOCK,BOOM",2014-07-14,2014-12-14,2014
2413,AIRBUS DEFENCE & SPACE GMBH,DEU,1005000,INTERROGATOR SET,2014-07-14,2014-12-14,2014
2414,AIRBUS DEFENCE AND SPACE GMBH,DEU,752722,DEPOT LEVEL MAINTENANCE FOR FIXED WING AIRCRAFT COMPONENTS,2014-07-14,2014-12-14,2014
2415,AIRBUS DEFENCE AND SPACE GMBH,DEU,885000,"COMPUTER,DIGITAL",2014-07-14,2014-12-14,2014
2416,AIRBUS DS OPTRONICS GMBH,DEU,80030,CIRCUIT CARD ASSEMBLY,2014-07-14,2014-12-14,2014
2417,AIRBUS DS OPTRONICS GMBH,DEU,81727,NIGHT VISION NSV80,2014-07-14,2014-12-14,2014
2418,AIRBUS HELICOPTERS,FRA,86100,BIELLE DE LACET,2014-07-14,2014-12-14,2014
2419,AIRBUS HELICOPTERS,DEU,140961,EDDY CURRENT PROBE,2014-07-14,2014-12-14,2014
2420,AIRCRAFT MAINTENANCE,,,,2014-07-14,2014-12-14,2014
2421,CONSULTING COR,USA,187278,"PLATE,STRUCTURAL,AIRCRAFT",2014-07-14,2014-12-14,2014
2422,AIRTEC GMBH & CO KG,DEU,98700,CONTROL UNIT,2014-07-14,2014-12-14,2014
2423,AIRTEC GMBH & CO KG,DEU,290070,AUTOMATIC ACTIVATION DEVICE 1500/35 A M,2014-07-14,2014-12-14,2014
2424,ALTER ELECTRIC LTD,EST,280000,SHIP RESCUE RHIB,2014-07-14,2014-12-14,2014
2425,ARMORED SPECIALTY CARS GMBH,DEU,315000,VEHICLE TOYOTA LAND CRUISERS LC 200,2014-07-14,2014-12-14,2014
2426,ARMTEC DEFENSE PRODUCTS CO,USA,582658,CHAFF RR-129A/AL,2014-07-14,2014-12-14,2014
2427,BAI BRESCIA ANTINCENDI,ITA,244000,"TRUCK,FIRE FIGHTING",2014-07-14,2014-12-14,2014
2428,BELGACOM,BEL,79523,TREND MICRO SUPPORT RENEWAL,2014-07-14,2014-12-14,2014
2429,BELL HELICOPTER SUPPLY CENTER,,,,2014-07-14,2014-12-14,2014
2430,BV,NLD,132353,"DAMPENER,FLUTTER",2014-07-14,2014-12-14,2014
2431,BELL HELICOPTER SUPPLY CENTER,,,,2014-07-14,2014-12-14,2014
2432,,NLD,201039,"WEIGHT,BALANCE",2014-07-14,2014-12-14,2014
2433,BV,,,,2014-07-14,2014-12-14,2014
2434,BELL HELICOPTER SUPPLY CENTER,,,,2014-07-14,2014-12-14,2014
2435,,NLD,268025,"UNIVERSAL,CONTROL L",2014-07-14,2014-12-14,2014
2436,BV,,,,2014-07-14,2014-12-14,2014
2437,BELL HELICOPTER SUPPLY CENTER,,,,2014-07-14,2014-12-14,2014
2438,,NLD,283771,"YOKE ASSY, TAIL",2014-07-14,2014-12-14,2014
2439,BV,,,,2014-07-14,2014-12-14,2014
2440,BELL HELICOPTER SUPPLY CENTER,,,,2014-07-14,2014-12-14,2014
2441,,NLD,493187,"WINDOW PANEL,AIRCRAFT",2014-07-14,2014-12-14,2014
2442,BV,,,,2014-07-14,2014-12-14,2014
2443,BELL HELICOPTER SUPPLY CENTER,,,,2014-07-14,2014-12-14,2014
2444,BV,NLD,760375,"SPACER,SLEEVE",2014-07-14,2014-12-14,2014
2445,BERTIN TECHNOLOGIES SA,FRA,220000,CBRN AIRBORNE IDENTIFICATION SYSTEM,2014-07-14,2014-12-14,2014
2446,BLUE AEROSPACE LLC,USA,106908,"HEATER,AIR INTAKE",2014-07-14,2014-12-14,2014
2447,BLUE AEROSPACE LLC,USA,156043,"WICK ASSY, FAN END",2014-07-14,2014-12-14,2014
2448,BOEING INTEGRATED DEFENSE,,,,2014-07-14,2014-12-14,2014
2449,SYSTEMS,USA,119377,"KIT,RADOME REPLACEMENT",2014-07-14,2014-12-14,2014
2450,CATAPANO SRL,ITA,408530,PROTECTION KIT FOR FIRE-FIGHTER TG.S,2014-07-14,2014-12-14,2014
2451,CEGELEC DEFENSE,FRA,635219,SLUDGE DEWATERING SYSTEM & EQUIPMENT,2014-07-14,2014-12-14,2014
2452,CEMTROL INC,USA,157983,PROCUREMENT OF TRANSISTOR,2014-07-14,2014-12-14,2014
2453,CHELTON LTD,GBR,80212,ANTENNA,2014-07-14,2014-12-14,2014
2454,CHEMRING COUNTERMEASURES,,,,2014-07-14,2014-12-14,2014
2455,,GBR,116618,"FLARE,COUNTERMEASURE",2014-07-14,2014-12-14,2014
2456,LTD,,,,2014-07-14,2014-12-14,2014
2457,CHEMRING COUNTERMEASURES,,,,2014-07-14,2014-12-14,2014
2458,,GBR,217118,FLARE MTV CLASSIC,2014-07-14,2014-12-14,2014
2459,LTD,,,,2014-07-14,2014-12-14,2014
2460,CHEMRING COUNTERMEASURES,,,,2014-07-14,2014-12-14,2014
2461,,GBR,453275,"FLARE,COUNTERMEASURE",2014-07-14,2014-12-14,2014
2462,LTD,,,,2014-07-14,2014-12-14,2014
2463,CHEMRING COUNTERMEASURES,,,,2014-07-14,2014-12-14,2014
2464,,GBR,459359,FLARE 55 MM TYPHOON IR DECOY,2014-07-14,2014-12-14,2014
2465,LTD,,,,2014-07-14,2014-12-14,2014
2466,CHEMRING EOD LTD,GBR,432043,SUPPLY OF AMMUNITION,2014-07-14,2014-12-14,2014
2467,CO.FER.MET. SRL,ITA,350067,DEMILITARIZATION AND DISPOSAL,2014-07-14,2014-12-14,2014
2468,COBHAM ANTENNA SYSTEM,SWE,143250,ROTARY JOINT,2014-07-14,2014-12-14,2014
2469,COBHAM ANTENNA SYSTEM,SWE,143250,ROTARY JOINT,2014-07-14,2014-12-14,2014
2470,COMBINED SYSTEMS INC,USA,794825,SUPPLY OF AMMUNITION,2014-07-14,2014-12-14,2014
2471,COMPAREX NEDERLAND BV,NLD,403115,RENEWAL OF MCAFEE LICENCES,2014-07-14,2014-12-14,2014
2472,CONTINENTAL MICROWAVE AND,,,,2014-07-14,2014-12-14,2014
2473,TOOL CO,USA,387920,"COUPLER,ROTARY,RADIO FREQUENCY",2014-07-14,2014-12-14,2014
2474,COPENHAGEN CONTRACTORS A/S,DNK,652311,HAZARDOUS MATERIAL,2014-07-14,2014-12-14,2014
2475,COSTAS SIAMIDIS SA,GRC,387000,PROVISIONS OF UNIFORMS,2014-07-14,2014-12-14,2014
2476,CRISTANINI SPA,ITA,199991,STATION DECONTAMINA,2014-07-14,2014-12-14,2014
2477,CRISTANINI SPA,ITA,835000,APPARATO PER DECONTAMINAZIONE,2014-07-14,2014-12-14,2014
2478,DEFENSE TECHNOLOGY,,,,2014-07-14,2014-12-14,2014
2479,,USA,224389,"TESTER,PYROMETER AND THERMOCOUPLE",2014-07-14,2014-12-14,2014
2480,EQUIPMENT INC,,,,2014-07-14,2014-12-14,2014
2481,DEFENSE TRADING CORPORATION,USA,106748,"CONTROL,ALTITUDE,AUTOMATIC PILOT",2014-07-14,2014-12-14,2014
2482,DEFENSE TRADING CORPORATION,USA,145262,"LAMP,INCAND M951XM07/FM63 KIT GREEN BROW",2014-07-14,2014-12-14,2014
2483,DERCO AEROSPACE INC,USA,97614,"VALVE,MODULATING,EC",2014-07-14,2014-12-14,2014
2484,DERCO AEROSPACE INC,USA,124844,"ANALYZER,BALANCER AND VIBRATION",2014-07-14,2014-12-14,2014
2485,DHS SYSTEMS LLC,USA,82372,"HUB ASSY,FLOAT",2014-07-14,2014-12-14,2014
2486,DIMENSION DATA LUXEMBOURG,LUX,186859,PROVISIONING OF F5 NETWORKS PRODUCTS,2014-07-14,2014-12-14,2014
2487,DREW DEFENSE GMBH,DEU,330310,"DEMOLITION KIT,PROJECTED CHARGE",2014-07-14,2014-12-14,2014
2488,DYESS AVIATION INC,USA,88708,"RECORDER,FLIGHT DATA",2014-07-14,2014-12-14,2014
2489,EADS-CASA,ESP,420062,RUBBER ROUND SECTION,2014-07-14,2014-12-14,2014
2490,EATON GERMANY GMBH,DEU,409000,"COUPLING,CLAMP,GROOVED",2014-07-14,2014-12-14,2014
2491,ECOSYSTEM SRL,ITA,1072867,DISPOSAL OF 937 EXCESS VEHICULES,2014-07-14,2014-12-14,2014
2492,EFACEC SERVICOS DE,,,,2014-07-14,2014-12-14,2014
2493,,PRT,258746,REPLACEMENT OF THE FSS OF 743-D RADAR,2014-07-14,2014-12-14,2014
2494,MANUTENCAO E,,,,2014-07-14,2014-12-14,2014
2495,EFACEC SERVICOS DE,,,,2014-07-14,2014-12-14,2014
2496,,PRT,368904,REPLACEMENT OF THE ACS OF 743-D RADAR,2014-07-14,2014-12-14,2014
2497,MANUTENCAO E,,,,2014-07-14,2014-12-14,2014
2498,ELITE DEFENSE,USA,325505,"SIGHT,REFLEX, SU231 TAN",2014-07-14,2014-12-14,2014
2499,ELITE DEFENSE,USA,676151,HOLOGRAPHIC WEAPON SIGHT EOLAD 2S,2014-07-14,2014-12-14,2014
2500,ELNIC GESELLSCHAFT FUER,DEU,648400,"ENCODER,SHAFT ANGLE TO DIGITAL",2014-07-14,2014-12-14,2014
2501,EMERSION,FRA,241991,KIT MTS,2014-07-14,2014-12-14,2014
2502,EMERSION,FRA,293583,GILET TACTIQUE JTAC,2014-07-14,2014-12-14,2014
2503,ENSIGN-BICKFORD AEROSPACE &,,,,2014-07-14,2014-12-14,2014
2504,,USA,89976,SUPPLY OF AMMUNITION,2014-07-14,2014-12-14,2014
2505,DEFENSE,,,,2014-07-14,2014-12-14,2014
2506,EPTI ARCHITECTURAL AND,,,,2014-07-14,2014-12-14,2014
2507,,HUN,183319,PAPA AATCT A&E - PRELIMINARY DESIGN,2014-07-14,2014-12-14,2014
2508,ENGINEERING,,,,2014-07-14,2014-12-14,2014
2509,ESTERLINE RACAL ACOUSTICS,GBR,444534,HEADSET AND SWITCHBOARD,2014-07-14,2014-12-14,2014
2510,EURENCO,FRA,257900,TETRANITRO CARBAZOLE,2014-07-14,2014-12-14,2014
2511,EUROPAVIA ESPANA SA,ESP,199500,"FILTER ELEMENT,FLUID",2014-07-14,2014-12-14,2014
2512,EUROTORP,FRA,434000,TORPEDO TROLLEY STY 104B,2014-07-14,2014-12-14,2014
2513,EVT EIBERGER,,,,2014-07-14,2014-12-14,2014
2514,,DEU,240600,DEGREASING AND CLEANING PLANT,2014-07-14,2014-12-14,2014
2515,VERFAHRENSTECHNIK GMBH,,,,2014-07-14,2014-12-14,2014
2516,EXPAL SYSTEMS SA,ESP,236017,SUPPLY OF AMMUNITION,2014-07-14,2014-12-14,2014
2517,EXPAL SYSTEMS SA,ESP,267218,TRANSPORT,2014-07-14,2014-12-14,2014
2518,EXPAL SYSTEMS SA,ESP,586356,SUPPLY OF AMMUNITION,2014-07-14,2014-12-14,2014
2519,EXPAL SYSTEMS SA,ESP,672000,SUPPLY OF AMMUNITION,2014-07-14,2014-12-14,2014
2520,FACET ITALIANA SPA,ITA,170914,REFUELLING POINT,2014-07-14,2014-12-14,2014
2521,FEKA INSAAT SAN VE TIC AS,TUR,178866,ANZAC COVE REFURBISHMENT,2014-07-14,2014-12-14,2014
2522,FEKA INSAAT SAN VE TIC AS,TUR,272740,RUNWAY REPAIR,2014-07-14,2014-12-14,2014
2523,FEKA INSAAT SAN VE TIC AS,TUR,662090,RUNWAY REPAIR,2014-07-14,2014-12-14,2014
2524,FEKA INSAAT SAN VE TIC AS,TUR,994202,RUNWAY REPAIR,2014-07-14,2014-12-14,2014
2525,FEKA INSAAT SAN VE TIC AS,TUR,1245861,PAVEMENT WORKS,2014-07-14,2014-12-14,2014
2526,FLIR SURVEILLANCE INC,USA,125693,REPAIR OF A CAMERA,2014-07-14,2014-12-14,2014
2527,FLIR SURVEILLANCE INC,USA,3090875,HISS THERMOSIGHT MO,2014-07-14,2014-12-14,2014
2528,FOSTER MILLER INC,USA,1292067,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",2014-07-14,2014-12-14,2014
2529,G&G PARTNERS SRL,ITA,519160,MAIN TENT FOR PASSENGERS,2014-07-14,2014-12-14,2014
2530,G&G PARTNERS SRL,ITA,727307,MODULAR INTERCONNECTED TENT UNIT,2014-07-14,2014-12-14,2014
2531,G&G PARTNERS SRL,ITA,1967175,TENT MODULE,2014-07-14,2014-12-14,2014
2532,G3 SYSTEMS LTD,GBR,237149,RENOVATION SERVICES,2014-07-14,2014-12-14,2014
2533,GELBYSON SRL,ITA,385300,"SYRINGE,HYPODERMIC",2014-07-14,2014-12-14,2014
2534,GENERAL DYNAMICS EUROPEAN,,,,2014-07-14,2014-12-14,2014
2535,LAND SYST,ESP,1363905,ANTI-TANK GUIDE MISSILE SYSTEM,2014-07-14,2014-12-14,2014
2536,GENTAS GMBH,DEU,78790,LUBRICATING OIL,2014-07-14,2014-12-14,2014
2537,GERBER LEGENDARY BLADES,USA,98442,"MULTI-TOOL,FOLDING,POCKET",2014-07-14,2014-12-14,2014
2538,GIRODIN SAUER,FRA,78736,"SEAT,VALVE",2014-07-14,2014-12-14,2014
2539,GKN AEROSPACE TRANSPARENCY,GBR,133455,"DETECTOR HEAD,ICE",2014-07-14,2014-12-14,2014
2540,GUINAULT SA,FRA,269560,GROUPE DE CLIM POUR FALCON F200,2014-07-14,2014-12-14,2014
2541,HARRIS CORP,USA,432296,HARRIS PRC117-G RADIO,2014-07-14,2014-12-14,2014
2542,HARRIS CORP,USA,1584535,TRAINING,2014-07-14,2014-12-14,2014
2543,HATCON INSAAT TAHAHHUT,,,,2014-07-14,2014-12-14,2014
2544,,TUR,266920,FLIGHT LINE SECURITY FENCE,2014-07-14,2014-12-14,2014
2545,ITHALAT,,,,2014-07-14,2014-12-14,2014
2546,HATCON INSAAT TAHAHHUT,,,,2014-07-14,2014-12-14,2014
2547,,TUR,329971,WWTP-REMEDIATION OF POOH PONDS,2014-07-14,2014-12-14,2014
2548,ITHALAT,,,,2014-07-14,2014-12-14,2014
2549,HATCON INSAAT TAHAHHUT,,,,2014-07-14,2014-12-14,2014
2550,,TUR,425008,CONTINGENT DEMOBILIZATION WORKS,2014-07-14,2014-12-14,2014
2551,ITHALAT,,,,2014-07-14,2014-12-14,2014
2552,HATCON INSAAT TAHAHHUT,,,,2014-07-14,2014-12-14,2014
